trade_date,open,high,low,close,preclose,volume,amount,turn,pctChg,datetime
20200102,16.07,16.45,15.99,16.33,16.02,632600.52,1251188.179,1.0028,1.94,2020-01-02
20200103,16.35,16.44,15.61,15.69,16.33,708476.45,1367189.334,1.123,-3.92,2020-01-03
20200106,15.53,15.87,15.32,15.6,15.69,624159.29,1184198.738,0.9894,-0.57,2020-01-06
20200107,15.62,15.91,15.54,15.82,15.6,437007.04,839621.186,0.6927,1.41,2020-01-07
20200108,15.73,16.0,15.61,15.8,15.82,344155.18,663375.376,0.5455,-0.13,2020-01-08
20200109,15.97,16.15,15.87,15.99,15.8,308978.5,602999.229,0.4898,1.2,2020-01-09
20200110,16.06,16.39,16.04,16.34,15.99,335913.49,664340.734,0.5325,2.19,2020-01-10
20200113,16.43,16.44,16.14,16.34,16.34,348019.41,690319.979,0.5517,0.0,2020-01-13
20200114,16.47,16.62,16.28,16.43,16.34,369804.12,741874.452,0.5862,0.55,2020-01-14
20200115,16.42,16.42,16.09,16.15,16.43,296363.67,583589.361,0.4698,-1.7,2020-01-15
20200116,16.24,16.26,15.98,16.06,16.15,242604.01,474933.845,0.3846,-0.56,2020-01-16
20200117,16.1,16.22,15.83,15.98,16.06,244216.66,475330.279,0.3871,-0.5,2020-01-17
20200120,15.78,16.06,15.78,15.96,15.98,389911.73,754014.343,0.6181,-0.13,2020-01-20
20200121,15.92,16.06,15.68,15.93,15.96,383574.81,741647.763,0.608,-0.19,2020-01-21
20200122,15.81,15.97,15.65,15.91,15.93,309765.16,596676.023,0.491,-0.13,2020-01-22
20200123,15.85,15.85,14.95,15.26,15.91,457410.75,857315.042,0.7251,-4.09,2020-01-23
20200203,13.73,14.58,13.73,13.97,15.26,810417.63,1381712.989,1.2846,-8.45,2020-02-03
20200204,14.04,14.41,14.01,14.26,13.97,557009.59,964146.194,0.8829,2.08,2020-02-04
20200205,14.35,14.49,14.17,14.38,14.26,694778.52,1215543.892,1.1013,0.84,2020-02-05
20200206,14.39,14.65,14.13,14.57,14.38,517581.39,908372.372,0.8204,1.32,2020-02-06
20200207,14.44,14.61,14.38,14.59,14.57,331200.77,583202.869,0.525,0.14,2020-02-07
20200210,14.5,14.85,14.21,14.79,14.59,394040.09,700235.498,0.6246,1.37,2020-02-10
20200211,14.87,15.4,14.78,15.24,14.79,493351.17,907191.704,0.782,3.04,2020-02-11
20200212,15.14,15.57,15.04,15.29,15.24,312560.22,583556.589,0.4955,0.33,2020-02-12
20200213,15.36,15.53,14.97,15.04,15.29,353805.44,653894.786,0.5608,-1.64,2020-02-13
20200214,15.03,15.13,14.82,14.95,15.04,263196.39,479599.565,0.4172,-0.6,2020-02-14
20200217,15.02,15.28,14.81,15.27,14.95,289110.89,532153.85,0.4583,2.14,2020-02-17
20200218,15.27,15.31,14.99,15.21,15.27,299496.18,552147.923,0.4747,-0.39,2020-02-18
20200219,15.17,15.17,14.94,14.96,15.21,357715.84,654372.633,0.567,-1.64,2020-02-19
20200220,14.96,15.54,14.87,15.52,14.96,511591.91,952555.869,0.8109,3.74,2020-02-20
20200221,15.5,15.73,15.32,15.46,15.52,397168.34,748856.299,0.6296,-0.39,2020-02-21
20200224,15.41,15.41,15.03,15.04,15.46,516467.55,950177.663,0.8187,-2.72,2020-02-24
20200225,14.79,14.86,14.41,14.63,15.04,528333.84,939882.662,0.8375,-2.73,2020-02-25
20200226,14.26,14.75,14.26,14.47,14.63,409057.44,723501.512,0.6484,-1.09,2020-02-26
20200227,14.54,14.75,14.47,14.63,14.47,305665.74,544247.32,0.4845,1.11,2020-02-27
20200228,14.3,14.42,13.9,13.98,14.63,527660.99,906781.02,0.8364,-4.44,2020-02-28
20200302,14.05,14.59,14.04,14.49,13.98,430421.88,752116.469,0.6823,3.65,2020-03-02
20200303,14.63,14.74,14.38,14.49,14.49,345547.87,612956.096,0.5477,0.0,2020-03-03
20200304,14.38,14.72,14.27,14.7,14.49,381143.21,671142.052,0.6042,1.45,2020-03-04
20200305,14.82,15.29,14.71,15.19,14.7,506226.17,928505.616,0.8024,3.33,2020-03-05
20200306,15.0,15.1,14.79,14.81,15.19,343025.05,621138.51,0.5437,-2.5,2020-03-06
20200309,14.46,14.71,14.17,14.45,14.81,523483.35,918972.829,0.8298,-2.43,2020-03-09
20200310,14.29,14.71,14.24,14.54,14.45,485647.07,856435.294,0.7698,0.62,2020-03-10
20200311,14.54,14.58,14.24,14.26,14.54,324566.85,567980.592,0.5145,-1.93,2020-03-11
20200312,14.05,14.05,13.72,13.76,14.26,528774.11,890155.226,0.8382,-3.51,2020-03-12
20200313,12.98,13.69,12.82,13.34,13.76,620780.52,1003039.982,0.984,-3.05,2020-03-13
20200316,13.23,13.31,12.63,12.77,13.34,590001.01,932912.636,0.9352,-4.27,2020-03-16
20200317,12.65,12.98,12.32,12.41,12.77,536544.49,820681.497,0.8505,-2.82,2020-03-17
20200318,12.52,12.8,12.33,12.34,12.41,454180.56,696116.77,0.7199,-0.56,2020-03-18
20200319,12.34,12.49,11.64,11.96,12.34,729015.07,1059365.242,1.1556,-3.08,2020-03-19
20200320,12.08,12.14,11.78,12.0,11.96,471788.25,686350.478,0.7479,0.33,2020-03-20
20200323,11.54,11.7,11.34,11.38,12.0,487472.54,681635.225,0.7727,-5.17,2020-03-23
20200324,11.59,12.04,11.58,12.01,11.38,526457.79,761554.325,0.8345,5.54,2020-03-24
20200325,12.41,12.45,12.15,12.36,12.01,485590.25,726910.249,0.7697,2.91,2020-03-25
20200326,12.25,12.32,11.97,12.02,12.36,331498.14,489447.004,0.5255,-2.75,2020-03-26
20200327,12.24,12.34,12.08,12.14,12.02,363289.44,539559.304,0.5759,1.0,2020-03-27
20200330,11.98,11.98,11.58,11.75,12.14,433106.08,618695.669,0.6865,-3.21,2020-03-30
20200331,11.9,12.08,11.81,11.83,11.75,320383.72,464028.255,0.5079,0.68,2020-03-31
20200401,11.87,12.29,11.84,12.06,11.83,339600.03,499528.198,0.5383,1.94,2020-04-01
20200402,11.97,12.22,11.9,12.2,12.06,313542.41,461223.468,0.497,1.16,2020-04-02
20200403,12.16,12.34,12.08,12.14,12.2,247031.53,366911.55,0.3916,-0.49,2020-04-03
20200407,12.41,12.49,12.27,12.3,12.14,359859.54,541588.609,0.5704,1.32,2020-04-07
20200408,12.19,12.28,12.09,12.19,12.3,265251.33,393552.407,0.4205,-0.89,2020-04-08
20200409,12.27,12.32,12.21,12.22,12.19,186095.58,277791.314,0.295,0.25,2020-04-09
20200410,12.25,12.79,12.09,12.56,12.22,534040.33,813552.352,0.8465,2.78,2020-04-10
20200413,12.41,12.79,12.38,12.71,12.56,444305.16,681613.868,0.7043,1.19,2020-04-13
20200414,12.65,12.74,12.46,12.66,12.71,394482.69,606122.713,0.6253,-0.39,2020-04-14
20200415,12.46,12.53,12.19,12.26,12.66,497698.23,749347.764,0.7889,-3.16,2020-04-15
20200416,12.15,12.16,12.0,12.11,12.26,292282.18,429123.822,0.4633,-1.22,2020-04-16
20200417,12.17,12.31,12.15,12.18,12.11,299805.06,446066.291,0.4752,0.58,2020-04-17
20200420,12.19,12.29,12.0,12.24,12.18,384951.45,569504.686,0.6102,0.49,2020-04-20
20200421,12.22,12.24,12.0,12.09,12.24,291200.36,427839.579,0.4616,-1.23,2020-04-21
20200422,12.01,12.24,11.95,12.21,12.09,247183.9,364987.007,0.3918,0.99,2020-04-22
20200423,12.27,12.6,12.27,12.41,12.21,466188.75,707562.439,0.739,1.64,2020-04-23
20200424,12.49,12.49,12.2,12.23,12.41,243272.77,364401.837,0.3856,-1.45,2020-04-24
20200427,12.3,12.45,12.24,12.24,12.23,233543.99,350801.837,0.3702,0.08,2020-04-27
20200428,12.26,12.46,11.96,12.37,12.24,288418.01,430599.464,0.4572,1.06,2020-04-28
20200429,12.32,13.02,12.24,12.92,12.37,467228.73,725768.328,0.7406,4.45,2020-04-29
20200430,12.72,12.83,12.58,12.7,12.92,651580.69,1006964.648,1.0329,-1.7,2020-04-30
20200506,12.46,12.55,12.26,12.51,12.7,845210.1,1271075.469,1.3398,-1.5,2020-05-06
20200507,12.45,12.45,12.26,12.3,12.51,468767.19,702896.607,0.7431,-1.68,2020-05-07
20200508,12.37,12.83,12.32,12.61,12.3,947395.64,1453167.938,1.5018,2.52,2020-05-08
20200511,12.76,13.12,12.64,12.79,12.61,849054.94,1326610.38,1.3459,1.43,2020-05-11
20200512,12.78,12.94,12.62,12.74,12.79,548771.75,851552.316,0.8699,-0.39,2020-05-12
20200513,12.69,12.69,12.46,12.57,12.74,556475.69,847157.722,0.8821,-1.33,2020-05-13
20200514,12.5,12.6,12.39,12.42,12.57,412874.14,627836.201,0.6545,-1.19,2020-05-14
20200515,12.41,12.63,12.39,12.42,12.42,421413.54,639578.26,0.668,0.0,2020-05-15
20200518,12.43,12.49,12.28,12.37,12.42,352839.06,532081.701,0.5593,-0.4,2020-05-18
20200519,12.51,12.77,12.51,12.67,12.37,554010.77,853007.051,0.8782,2.43,2020-05-19
20200520,12.66,12.66,12.47,12.6,12.67,303125.19,463152.051,0.4805,-0.55,2020-05-20
20200521,12.61,12.88,12.6,12.68,12.6,508725.87,787766.701,0.8064,0.63,2020-05-21
20200522,12.78,12.81,12.32,12.37,12.68,433547.81,659303.535,0.6872,-2.44,2020-05-22
20200525,12.32,12.54,12.28,12.41,12.37,248776.86,375896.892,0.3943,0.32,2020-05-25
20200526,12.49,12.84,12.46,12.82,12.41,570347.14,882080.02,0.9041,3.3,2020-05-26
20200527,12.86,13.3,12.78,13.19,12.82,765598.48,1219570.685,1.2136,2.89,2020-05-27
20200528,13.17,13.48,12.9,13.07,13.19,536921.76,862505.805,0.8511,-0.91,2020-05-28
20200529,13.05,13.6,13.0,13.6,13.07,649262.28,1054927.407,1.0292,4.06,2020-05-29
20200601,13.68,13.88,13.52,13.65,13.6,729709.31,1214095.311,1.1567,0.37,2020-06-01
20200602,13.65,14.76,13.38,13.99,13.65,807241.2,1349862.012,1.2796,2.49,2020-06-02
20200603,13.73,13.8,13.43,13.51,13.99,719232.62,1190184.832,1.1401,-3.43,2020-06-03
20200604,13.61,13.69,13.33,13.4,13.51,459492.11,753338.21,0.7284,-0.81,2020-06-04
20200605,13.48,13.84,13.35,13.76,13.4,517851.29,860325.65,0.8209,2.69,2020-06-05
20200608,13.89,14.35,13.89,13.97,13.76,790623.86,1357167.974,1.2533,1.53,2020-06-08
20200609,13.97,14.53,13.84,14.28,13.97,513847.14,892203.603,0.8145,2.22,2020-06-09
20200610,14.18,14.27,13.98,14.08,14.28,367988.89,631677.543,0.5833,-1.4,2020-06-10
20200611,14.09,14.2,13.66,13.75,14.08,425887.1,721687.085,0.6751,-2.34,2020-06-11
20200612,13.43,13.66,13.34,13.63,13.75,488513.45,803264.327,0.7744,-0.87,2020-06-12
20200615,13.48,13.59,13.08,13.16,13.63,526287.41,853157.52,0.8342,-3.45,2020-06-15
20200616,13.31,13.55,13.27,13.52,13.16,352602.54,575577.395,0.5589,2.74,2020-06-16
20200617,13.72,13.91,13.61,13.8,13.52,443318.13,743645.59,0.7027,2.07,2020-06-17
20200618,13.68,14.26,13.65,14.12,13.8,482202.62,825986.523,0.7644,2.32,2020-06-18
20200619,14.09,14.49,14.09,14.39,14.12,526232.29,918099.857,0.8342,1.91,2020-06-19
20200622,14.38,14.47,14.17,14.39,14.39,420648.18,733180.845,0.6668,0.0,2020-06-22
20200623,14.38,14.59,14.1,14.21,14.39,266709.47,463790.405,0.4228,-1.25,2020-06-23
20200624,14.24,14.78,14.22,14.72,14.21,508458.07,905083.003,0.806,3.59,2020-06-24
20200629,14.64,15.1,14.57,14.74,14.72,519800.89,938210.901,0.824,0.14,2020-06-29
20200630,14.88,15.08,14.46,14.54,14.74,401498.71,718950.455,0.6364,-1.36,2020-06-30
20200701,14.65,14.79,14.49,14.75,14.54,316557.32,565528.782,0.5018,1.44,2020-07-01
20200702,14.69,15.0,14.58,14.89,14.75,440634.73,791657.913,0.6985,0.95,2020-07-02
20200703,14.9,15.13,14.56,14.77,14.89,508161.79,915907.36,0.8055,-0.81,2020-07-03
20200706,14.88,15.59,14.87,15.46,14.77,558916.88,1039736.133,0.886,4.67,2020-07-06
20200707,15.46,15.88,15.27,15.27,15.46,599409.95,1132876.38,0.9502,-1.23,2020-07-07
20200708,15.24,15.44,15.07,15.28,15.27,534550.15,988858.83,0.8473,0.07,2020-07-08
20200709,15.28,15.35,14.96,15.31,15.28,674095.27,1243579.336,1.0685,0.2,2020-07-09
20200710,15.21,15.23,14.72,14.77,15.31,732592.93,1332186.584,1.1613,-3.53,2020-07-10
20200713,14.71,15.09,14.7,15.04,14.77,509131.87,925440.845,0.8071,1.83,2020-07-13
20200714,15.1,15.15,14.72,14.83,15.04,431666.83,782286.735,0.6843,-1.4,2020-07-14
20200715,14.87,15.42,14.86,15.24,14.83,809210.19,1493298.495,1.2827,2.76,2020-07-15
20200716,15.27,15.31,14.13,14.24,15.24,654789.66,1148671.757,1.0379,-6.56,2020-07-16
20200717,14.29,14.88,14.29,14.65,14.24,455485.69,795504.865,0.722,2.88,2020-07-17
20200720,14.7,14.97,14.25,14.91,14.65,580704.43,1016848.644,0.9205,1.77,2020-07-20
20200721,14.87,15.02,14.62,14.71,14.91,393018.5,691962.683,0.623,-1.34,2020-07-21
20200722,14.72,15.32,14.59,15.04,14.71,553939.98,992089.565,0.8781,2.24,2020-07-22
20200723,14.88,15.08,14.47,14.76,15.04,583775.93,1025243.218,0.9254,-1.86,2020-07-23
20200724,14.64,14.65,13.79,13.89,14.76,708423.22,1196010.658,1.123,-5.89,2020-07-24
20200727,13.88,13.92,13.57,13.63,13.89,380104.1,620994.692,0.6025,-1.87,2020-07-27
20200728,13.73,13.93,13.63,13.72,13.63,337953.86,553414.497,0.5357,0.66,2020-07-28
20200729,13.88,15.09,13.73,15.09,13.72,1123981.64,1982237.421,1.7817,9.99,2020-07-29
20200803,15.85,16.6,15.69,16.6,15.09,960343.47,1873040.163,1.5223,10.01,2020-08-03
20200804,17.35,18.12,16.94,17.37,16.6,2042607.12,4252373.932,3.2378,4.64,2020-08-04
20200805,17.22,18.9,16.84,18.34,17.37,1795616.07,3860829.108,2.8463,5.58,2020-08-05
20200806,18.02,18.56,17.52,17.84,18.34,1132857.57,2426679.363,1.7957,-2.73,2020-08-06
20200807,17.61,19.18,17.61,18.94,17.84,1318355.02,2920307.631,2.0898,6.17,2020-08-07
20200810,18.44,19.41,18.02,18.72,18.94,835118.02,1866657.247,1.3238,-1.16,2020-08-10
20200811,18.7,19.0,18.12,18.19,18.72,749755.85,1655067.766,1.1885,-2.83,2020-08-11
20200812,18.19,18.34,17.61,18.12,18.19,711516.31,1522258.07,1.1279,-0.38,2020-08-12
20200813,18.18,18.32,17.78,18.02,18.12,508289.52,1094469.554,0.8057,-0.55,2020-08-13
20200814,17.87,18.73,17.72,18.7,18.02,541183.46,1184194.521,0.8579,3.77,2020-08-14
20200817,18.54,20.46,18.54,20.2,18.7,928311.36,2207053.222,1.4715,8.02,2020-08-17
20200818,20.06,20.16,19.47,19.94,20.2,615833.68,1452626.81,0.9762,-1.29,2020-08-18
20200819,19.94,20.36,19.49,19.52,19.94,559855.81,1322950.312,0.8875,-2.11,2020-08-19
20200820,19.32,19.85,19.22,19.33,19.52,373936.93,869331.721,0.5927,-0.97,2020-08-20
